source,Assigned Topic,,source,content,Assigned Topic
bbc,Abortion,23,bbc,"Personally, I don't believe in abortion, but I think people should have a right to choose. Women should have autonomy over their own bodies, and I thought that legislating abortion was relegated to the past. The people who want to legislate abortion and regulate the matter say that they are pro-life. But they are only talking about the life of the baby before it's born, and not about the life of the baby after it's born. The same people who want to regulate abortion want to defund schools. Here in Missouri, our schools are failing. If you want to be pro-life, then you need to look at life after a child is born.",Abortion
bbc,Abortion,14,bbc,"A draft opinion from Justice Samuel Alito said the majority of the court's judges favoured overturning the ruling known as Roe v Wade which in 1973 established a woman's right to an abortion.

What will happen if Roe v Wade is overturned?

Instead it would be up to each state to decide how much access women living there would have to abortion.

But other states will continue to provide access, not just for women in their state but for those living in states where it will be banned.

There are 13 states that have so-called trigger laws in place, which would lead to an immediate ban if the Supreme Court rules to overturn Roe v Wade.

Another dozen or so may move quickly to ban or severely limit access, says the Guttmacher Institute, a pro-choice group. It estimates 36 million women of reproductive age would live in states without abortion access.

These states are mostly in the south and west, which means some women may have to travel long distances to find a clinic.

What does the US public think about Roe v Wade?

A majority of Americans (62%) told Pew Research in 2019 that abortion should be legal in all or most cases. Only 38% said it should be illegal in all or most cases.

In that poll, 62% of those asked said they wanted it kept in place and only 38% said they wanted it struck down.

Why is this all happening now?

That changed the political leaning of the court to one that was more sceptical about Roe v Wade and more supportive of restricting access to abortions.

At the same time, many Republican states around the country have been focusing their attention in recent years on bringing in more restrictive laws.",Abortion
bbc,Abortion,25,bbc,"Chaotic scenes between protesters and police in Greenville, South Carolina have been captured on video.

Both pro-choice and anti-abortion activists took to the streets after the Supreme Court ruled to remove the constitutional right to an abortion.

During the heated protest, a Taser was drawn by an officer although police say it didn't touch anyone.

Six people, out of the hundreds that attended, were arrested for charges including disorderly conduct and resisting arrest.

Police said that opposing sides of the demonstration were separated to either side of the road and arrests were made when a ""violator"" attempted to cross sides and other protesters interfered.

A spokesman said the incident is being reviewed as is ""standard protocol"" for incidents like this.",Abortion
bbc,Abortion,15,bbc,"A draft opinion from Justice Samuel Alito said the majority of the court's judges favoured overturning the ruling known as Roe v Wade which in 1973 established a woman's right to an abortion.

What will happen if Roe v Wade is overturned?

Instead it would be up to each state to decide how much access women living there would have to abortion.

But other states will continue to provide access, not just for women in their state but for those living in states where it will be banned.

There are 13 states that have so-called trigger laws in place, which would lead to an immediate ban if the Supreme Court rules to overturn Roe v Wade.

Another dozen or so may move quickly to ban or severely limit access, says the Guttmacher Institute, a pro-choice group. It estimates 36 million women of reproductive age would live in states without abortion access.

These states are mostly in the south and west, which means some women may have to travel long distances to find a clinic.

What does the US public think about Roe v Wade?

A majority of Americans (62%) told Pew Research in 2019 that abortion should be legal in all or most cases. Only 38% said it should be illegal in all or most cases.

In that poll, 62% of those asked said they wanted it kept in place and only 38% said they wanted it struck down.

Why is this all happening now?

That changed the political leaning of the court to one that was more sceptical about Roe v Wade and more supportive of restricting access to abortions.

At the same time, many Republican states around the country have been focusing their attention in recent years on bringing in more restrictive laws.",Abortion
bbc,Abortion,22,bbc,"""It represents that we acknowledge the humanity of the unborn,"" she said.In Texas, which already has one of the strictest abortion laws in the country, the procedure is expected to be completely banned in 30 days because of a so-called ""trigger law"".""I'm glad I live in Texas where the decision is pretty much to ban abortion,"" she said, adding that the court's decision does not change her mission. ""I'm still going to be helping women choose life and make it easier for them to help their child.""That afternoon, a mother walked into the centre with her 16-year-old daughter, perhaps unaware that it had an anti-abortion mission.Beth, who declined giving her last name for reasons of privacy, was distraught for two reasons - the possibility of her teenage daughter being pregnant and the likelihood of her not having access to an abortion, if she desired one.",Abortion
bbc,Abortion,26,bbc,"The law had been widely applauded by anti-abortion groups in the state, including the Florida Conference of Catholic Bishops. According to data from the Centres of Disease Control, Florida has one of the highest rates of abortion in the US, behind only Illinois and New York. Polls also show that just over half of residents - 56% - believe abortions should be legal, making it the only state in the south-eastern US with a pro-choice majority. Governor DeSantis, however, has praised the recent Supreme Court ruling and vowed that Florida will work to restrict abortion access. ""Florida will continue to defend its recently-enacted pro-life reforms against state court challenges, will work to expand pro-life protections and will stand for life by promoting adopting, foster care and child welfare,"" he said in a statement last week.",Abortion
bbc,Abortion,24,bbc,"Exceptions: to save the health or life of the mother or in cases where the child is unlikely to survive after birth

A pre-Roe abortion ban is now in effect. It only makes exceptions for the life of the mother. A 2019 law that had been blocked by a judge could be reinstated.

It would make abortions illegal at any stage of pregnancy - except in cases where it is necessary “to prevent a serious health risk” to the mother or if there is a “lethal fetal anomaly”. There is no exception for sexual assault or incest.Under the law, a doctor accused of performing an abortion could face up to 99 years in prison.",Abortion
bbc,Abortion,13,bbc,"Whether abortion is legal or illegal, there are going to be a lot of other women who, if they know that help and support are available, will happily choose life. My mission with the San Antonio Coalition for Life has always been to talk to people with an unexpected pregnancy. Our job is to make sure that we can direct them and help them by giving them the resources they need.Our job doesn't change whether abortion is legal or illegal. We are always going to be here whether it is a life that is not quite six weeks or whether it is a life that is 13 weeks or whether it's a life at conception. Our job is to protect all innocent human life.",Abortion
bbc,COVID,50,bbc,"With the holiday season approaching in the US, doctors are urging people to exercise caution to avoid a surge in common and potentially dangerous winter viruses.

The US is facing a rise in cases of respiratory syncytial virus (RSV), with some hospitals opening extra beds to treat patients, while there are concerns about other illnesses such as flu.

Winnie Chow, a parent to 10-month-old Cooper, took her son to hospital earlier this month after he had been vomiting and coughing for several days. He spent four days there recovering from RSV.

""I was in tears,"" said Ms Chow, who lives in Hackensack, New Jersey. ""For him to be there for more than a day was very scary.""

Ms Chow is one of many parents who have had to seek care for an unwell child as winter viruses arrive earlier and with more severity than in recent years - a trend experts say could persist as people gather indoors for the winter holidays.

""When you have multiple generations mingling together, you have an increased risk of transmission from someone who is handling the virus pretty well to someone who may not handle it well at all.""

What is RSV and what are the symptoms?

Symptoms include a cough, congestion, runny nose and fever as well as wheezing in young infants, according to Rachel Orscheln, the director of ambulatory paediatric infectious diseases at St Louis Children's Hospital.

For the most vulnerable, RSV can lead to bronchiolitis, a condition that includes a build-up of inflammation in the lungs and difficulty breathing. There is no vaccine for RSV but scientists are working on developing one.

It can be difficult to distinguish between RSV, coronavirus and the flu because the respiratory viruses include many of the same symptoms and usually peak in winter.

Parents should reach out to their child's healthcare provider if they begin to have concerns, especially if they are experiencing worsening symptoms, difficulty breathing or are struggling to drink fluids, said Sonali Advani, an assistant professor of medicine at Duke University's Division of Infectious Diseases.

Why are RSV and flu cases rising?

Experts say protective measures like social distancing, mask wearing and other hygiene practices from the coronavirus pandemic likely shielded some children from exposure to the flu and their first RSV infection, which most children normally experience by age two.

An earlier RSV season followed by more severe flu infections has created a ""perfect storm"" that is ""flooding our paediatric capacity"", said Daniel Rauch, the chief of Paediatric Hospital Medicine at Tufts Medicine in Massachusetts.

He told the BBC a reduction in hospital beds for children during the coronavirus pandemic, which was intended to make space for adults who are more vulnerable to severe illness from Covid, had worsened the current problem.

Some experts said they were not optimistic the issues would resolve soon, as close contact during the the winter holiday season could offer more opportunities for viral transmission.

Getting vaccinated against Covid and the flu offers one of the best forms of protection against some of the respiratory illnesses that are circulating, experts told the BBC.

US infectious disease chief Dr Anthony Fauci said the flu jab was ""well matched"" to the circulating strain, while White House Covid co-ordinator Dr Ashish Jha urged Americans to ""make protecting our loved ones an important part of the conversation we have around the Thanksgiving table"".

He added that parents could also make sure any person serving food during large family gatherings is symptom-free and handling the food in a hygienic manner.",COVID
bbc,COVID,48,bbc,"With the holiday season approaching in the US, doctors are urging people to exercise caution to avoid a surge in common and potentially dangerous winter viruses.

The US is facing a rise in cases of respiratory syncytial virus (RSV), with some hospitals opening extra beds to treat patients, while there are concerns about other illnesses such as flu.

Winnie Chow, a parent to ten-month old Cooper, took her son to hospital earlier this month after he had been vomiting and coughing for several days. He spent four days there recovering from RSV.

""I was in tears,"" said Ms Chow, who lives in Hackensack, New Jersey. ""For him to be there for more than a day was very scary.""

Ms Chow is one of many parents who have had to seek care for an unwell child as winter viruses arrive earlier and with more severity than in recent years - a trend experts say could persist as people gather indoors for Thanksgiving and Christmas.

""When you have multiple generations mingling together, you have an increased risk of transmission from someone who is handling the virus pretty well to someone who may not handle it well at all.""

What is RSV and what are the symptoms?

Symptoms include a cough, congestion, runny nose and fever as well as wheezing in young infants, according to Rachel Orscheln, the director of ambulatory paediatric infectious diseases at St Louis Children's Hospital.

For the most vulnerable, RSV can lead to bronchiolitis, a condition that includes a build-up of inflammation in the lungs and difficulty breathing. There is no vaccine for RSV but scientists are working on developing one.

It can be difficult to distinguish between RSV, coronavirus and the flu because the respiratory viruses include many of the same symptoms and usually peak in winter.

Parents should reach out to their child's healthcare provider if they begin to have concerns, especially if they are experiencing worsening symptoms, difficulty breathing or are struggling to drink fluids, said Sonali Advani, an assistant professor of medicine at Duke University's Division of Infectious Diseases.

Why are RSV and flu cases rising?

Experts say protective measures like social distancing, mask wearing and other hygiene practices from the coronavirus pandemic likely shielded some children from exposure to the flu and their first RSV infection, which most children normally experience by age two.

An earlier RSV season followed by more severe flu infections has created a ""perfect storm"" that is ""flooding our paediatric capacity"", said Daniel Rauch, the chief of Paediatric Hospital Medicine at Tufts Medicine in Massachusetts.

He told the BBC a reduction in hospital beds for children during the coronavirus pandemic, which was intended to make space for adults who are more vulnerable to severe illness from Covid, had worsened the current problem.

Some experts said they were not optimistic the issues would resolve soon, as close contact during Thanksgiving and the rest of the winter holiday season could offer more opportunities for viral transmission.

Getting vaccinated against Covid and the flu offers one of the best forms of protection against some of the respiratory illnesses that are circulating, experts told the BBC.

US infectious disease chief Dr Anthony Fauci said the flu jab was ""well-matched"" to the circulating strain, while White House Covid co-ordinator Dr Ashish Jha urged Americans to ""make protecting our loved ones an important part of the conversation we have around the Thanksgiving table"".

He added that parents could also make sure any person serving food during large family gatherings is symptom-free and handling the food in a hygienic manner.",COVID
